assignment number,first name,last name,assignment name,score
1,laura,brown,Addition Practice,91
2,laura,brown,Subtraction Practice,88
3,laura,brown,Multiplication Practice,94
4,laura,brown,Division Practice,97
5,laura,brown,Fractions,86
6,laura,brown,Decimals,82
7,laura,brown,Word Problems,86
8,laura,brown,Basic Algebra,92
9,laura,brown,Geometry Basics,94
10,laura,brown,Statistics Introduction,94
11,laura,brown,Graphing,84
12,laura,brown,Probability,97
13,laura,brown,Time Problems,85
14,laura,brown,Money Problems,100
15,laura,brown,Math Review,95
