assignment number,first name,last name,assignment name,score
1,eric,walker,Addition Practice,94
2,eric,walker,Subtraction Practice,88
3,eric,walker,Multiplication Practice,84
4,eric,walker,Division Practice,85
5,eric,walker,Fractions,84
6,eric,walker,Decimals,88
7,eric,walker,Word Problems,88
8,eric,walker,Basic Algebra,91
9,eric,walker,Geometry Basics,82
10,eric,walker,Statistics Introduction,90
11,eric,walker,Graphing,85
12,eric,walker,Probability,84
13,eric,walker,Time Problems,85
14,eric,walker,Money Problems,96
15,eric,walker,Math Review,83
